on x=-45..1,y=-25..23,z=-14..35
on x=-2176..6136,y=-84870..-71245,z=-47613..-20545
off x=2023..15209,y=25429..57508,z=65332..79325
on x=66306..78678,y=14586..19973,z=15494..31575
off x=-28288..-4093,y=-58965..-36833,z=-75086..-43491
on x=-35664..-5450,y=55093..74197,z=11686..40118
on x=-25067..-3663,y=-79278..-72206,z=15111..42777
on x=-48705..-16750,y=-31817..-10749,z=-84005..-58825
on x=-67394..-48753,y=-30724..-12321,z=30269..50430
off x=-75640..-58478,y=-35252..-26181,z=14942..43731
on x=3645..5324,y=-73185..-65733,z=-40243..-14743
on x=-66735..-60945,y=-38128..-24332,z=-49348..-22212
off x=39266..43856,y=-68976..-43493,z=-62077..-35863
on x=-81074..-53023,y=-42692..-11626,z=24132..50317
on x=39849..70221,y=-7159..27862,z=42258..66445
on x=36944..64796,y=33842..46805,z=44049..66367
off x=71910..87909,y=-19051..10763,z=-11396..-5657
on x=-67126..-37081,y=-51245..-28315,z=21307..54257
off x=-19169..17107,y=22197..53541,z=52907..85793
off x=21921..51605,y=62863..86554,z=3217..29145
off x=-23080..-13303,y=-96866..-61724,z=-10145..8727
on x=74959..90774,y=-21729..4994,z=-30247..-12664
on x=-97043..-69306,y=-24917..10436,z=-31138..-12623
on x=-87289..-73742,y=-10720..13743,z=2049..31088
off x=33116..46142,y=64648..65730,z=-46808..-25557
on x=39542..43019,y=8959..30233,z=-66252..-50295
on x=65866..84296,y=26894..57421,z=13822..36340
on x=19872..48034,y=63173..79660,z=9327..25000
on x=26065..34252,y=14357..32370,z=67493..86165
off x=44637..50180,y=31605..59353,z=-64989..-32725
on x=34275..59056,y=-63617..-52263,z=23254..47216
off x=17347..45490,y=42936..77410,z=-58828..-33819
on x=-77246..-67310,y=-21452..-6496,z=-10608..-7788
on x=59287..68922,y=-33436..493,z=36722..49008
on x=-67621..-50401,y=41712..46222,z=29218..49441
off x=15985..44037,y=-5356..24567,z=64150..77862
on x=58298..93548,y=10095..38425,z=-15661..5002
on x=-62628..-39905,y=-74527..-40419,z=-39220..-17999
off x=-74644..-55520,y=-36577..-33128,z=24670..38098
off x=-79006..-60340,y=-29992..766,z=1589..39530
on x=70968..75959,y=-6337..31310,z=13795..45722
off x=-19679..-4435,y=-78689..-67151,z=27628..55041
off x=56974..94479,y=-1609..15433,z=11323..27181
off x=66858..79428,y=12026..27799,z=5678..36098
off x=-15997..4614,y=-77442..-55493,z=-45736..-40211
on x=-79325..-53991,y=-51227..-16674,z=1572..20540
off x=-84204..-78115,y=-14186..23161,z=7984..19520
off x=14180..52001,y=-43218..-4276,z=51733..73003
on x=-47745..-27031,y=62212..80274,z=26289..35385
on x=36495..56909,y=-68887..-47004,z=2831..24821
on x=-67954..-59845,y=-51052..-44042,z=4753..24626
on x=-52827..-36489,y=-79553..-56624,z=-4119..19101
on x=76183..80637,y=-12874..6745,z=-6558..20532
on x=-72110..-69780,y=21906..44158,z=7585..28179
off x=-9993..22199,y=-58098..-41582,z=52706..68723
off x=-71885..-55936,y=-42675..-31541,z=27950..34300
on x=40606..68339,y=28438..43278,z=34434..52103
on x=-25545..2678,y=65242..89455,z=-1423..8234
on x=-31639..-4297,y=59195..83177,z=-25674..-2536
off x=15742..37250,y=-78064..-39216,z=30757..62358
off x=-50759..-20539,y=-77148..-52448,z=-53238..-34329
on x=-77513..-53028,y=-38550..-14591,z=16397..37474
on x=-38262..-16201,y=61522..86821,z=20771..54961
off x=-71374..-43847,y=-57124..-44595,z=19802..46595
off x=-65222..-37268,y=38786..40210,z=47758..53007
on x=-3205..27279,y=77392..85402,z=-1195..11237
on x=31281..65902,y=-68276..-56764,z=-13742..7138
on x=-33043..671,y=-54607..-30571,z=-82315..-60065
off x=4943..9094,y=-66607..-41312,z=-64162..-50915
off x=44875..60559,y=18574..37638,z=58856..73441
off x=40822..52957,y=-11660..9750,z=-74087..-50297
off x=-49638..-32547,y=-24883..-492,z=59440..70247
on x=-78606..-74696,y=-2991..29605,z=17480..26777
off x=-23030..-4972,y=-18991..-871,z=65805..85361
off x=54633..77831,y=21381..43385,z=-2152..20877
on x=15077..31796,y=67441..76316,z=-45758..-24043
on x=24279..42141,y=-19253..-8795,z=-77472..-58165
off x=-68909..-42358,y=-35797..-31750,z=28531..49334
off x=-46552..-19849,y=8232..17953,z=-80999..-66385
off x=20154..27905,y=66927..80394,z=-12334..-431
off x=-30409..-10861,y=-81984..-51763,z=-37779..-23157
off x=48142..58010,y=40917..69835,z=1861..25434
off x=51475..74469,y=-72288..-48781,z=-15178..6905
off x=53695..85451,y=14843..32605,z=-34859..-8099
on x=-27999..-4241,y=-70587..-54297,z=-42964..-36502
off x=34223..38040,y=-60058..-45192,z=41343..62121
on x=-27118..-17100,y=9876..30369,z=59974..89083
on x=57414..84116,y=653..24930,z=12781..16051
on x=-68059..-46789,y=47743..61716,z=12060..24489
off x=44412..49101,y=-45623..-20751,z=39617..59410
on x=-86423..-55173,y=20275..38214,z=9484..36139
on x=-38830..-22580,y=40100..62317,z=42077..61533
off x=24696..50805,y=-89530..-55640,z=520..4677
on x=-46166..-20776,y=-79989..-72077,z=4582..25927
on x=43811..65829,y=50958..63439,z=-2090..22107
on x=-66076..-33140,y=26478..43156,z=48192..64457
off x=18804..39958,y=-15990..-593,z=71288..94017
on x=-16645..15074,y=-2645..15795,z=74709..84293
off x=56716..67842,y=-15454..6183,z=36839..53509
on x=-45892..-38147,y=-67059..-39339,z=27919..58645
on x=-14633..8662,y=36566..49728,z=63050..77229
on x=-31392..-20479,y=-69483..-49570,z=54352..65770
on x=26583..37737,y=-36785..-16489,z=-83413..-50685
off x=40914..63631,y=46870..83142,z=-7933..19092
off x=22218..50507,y=-83680..-62121,z=-51260..-23449
off x=9756..44847,y=-54580..-35603,z=-73506..-46562
off x=-17647..11878,y=-98332..-77705,z=-14684..15002
on x=-44741..-26271,y=-81716..-54482,z=-11477..14070
off x=-35076..-1981,y=73759..83940,z=-21950..7270
on x=-19226..1824,y=51503..59762,z=-65845..-48821
off x=6570..26998,y=-11458..-3080,z=-78953..-67997
on x=70248..84575,y=-24679..-19753,z=-5858..14661
off x=-28439..-2720,y=-49367..-31350,z=-69392..-60563
on x=38186..43046,y=-38739..-14721,z=53616..64985
on x=18674..46606,y=-2887..13267,z=-85821..-71134
on x=-82280..-77000,y=-2546..19659,z=5979..28022
on x=9308..25379,y=853..10768,z=-96427..-62739
on x=-12253..15167,y=67595..84457,z=35629..49242
off x=60833..90816,y=-4001..21790,z=6093..32304
on x=-32813..-4065,y=28993..56664,z=49630..78321
on x=-23974..-17100,y=21409..34139,z=60823..84023
on x=-5326..9926,y=36021..52378,z=-73176..-60034
off x=-20642..1352,y=-81150..-62097,z=-42609..-24758
on x=-794..19841,y=-87169..-60122,z=-36505..-19502
off x=34975..63805,y=25802..46849,z=-58820..-38132
on x=39619..46293,y=342..22958,z=56234..80879
on x=48123..48729,y=14420..32784,z=-66490..-58380
on x=-52615..-37665,y=-75901..-52492,z=9849..26733
on x=41721..61120,y=27102..48745,z=-64930..-40204
off x=-78289..-60041,y=14354..29875,z=-54529..-41303
off x=44318..74454,y=-14021..-2636,z=-63197..-30743
on x=27378..53613,y=39087..49720,z=33420..69852
off x=-19620..2036,y=7441..31215,z=69825..86519
on x=15791..19130,y=-76450..-47614,z=-58381..-42389
on x=-35094..-12809,y=66272..89209,z=22037..50934
